Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,5/23/2021,0.343566515,0.358712045,0.363897586,0.317755292
DOGE,5/24/2021,0.309183822,0.342580838,0.350685933,0.248912229
DOGE,5/25/2021,0.349012223,0.306702054,0.374993701,0.296114186
DOGE,5/26/2021,0.3486085,0.366689755,0.380704601,0.322972248
DOGE,5/27/2021,0.347286929,0.346470475,0.367165044,0.337547581
DOGE,5/28/2021,0.33306692,0.35343545,0.353612638,0.327808909
DOGE,5/29/2021,0.304776583,0.334354123,0.347885083,0.303277964
DOGE,5/30/2021,0.298548615,0.3115547,0.31815274,0.280432553
DOGE,5/31/2021,0.303624915,0.30318717,0.311086683,0.28730316
DOGE,6/1/2021,0.32457412,0.302112466,0.329929759,0.294421765
DOGE,6/2/2021,0.370663842,0.325669763,0.377706501,0.311601903
DOGE,6/3/2021,0.417600205,0.369994497,0.446124202,0.351236869
DOGE,6/4/2021,0.403212935,0.423389618,0.441374153,0.380120401
DOGE,6/5/2021,0.383527596,0.400909553,0.402199789,0.350249481
DOGE,6/6/2021,0.366769222,0.376775939,0.395278191,0.360314195
DOGE,6/7/2021,0.368625071,0.371770512,0.377346286,0.367012519
DOGE,6/8/2021,0.340057635,0.371642975,0.38015778,0.330393998
DOGE,6/9/2021,0.330802336,0.331784368,0.342091522,0.295683789
DOGE,6/10/2021,0.344400349,0.326310059,0.354765389,0.312722132
DOGE,6/11/2021,0.327612065,0.343386391,0.345222673,0.322838048
DOGE,6/12/2021,0.319914274,0.326232599,0.333633156,0.311160735
DOGE,6/13/2021,0.312903424,0.318765619,0.318780045,0.301258235
DOGE,6/14/2021,0.323448493,0.312362132,0.329500353,0.307728216
DOGE,6/15/2021,0.325676255,0.323939507,0.337699748,0.320140753
DOGE,6/16/2021,0.321917384,0.327738949,0.330687082,0.316587529
DOGE,6/17/2021,0.309663584,0.320330335,0.321483216,0.305264454
DOGE,6/18/2021,0.304203787,0.307786304,0.314186845,0.30250037
DOGE,6/19/2021,0.292749805,0.306266869,0.307727699,0.279952828
DOGE,6/20/2021,0.288069754,0.293546801,0.29792242,0.286354759
DOGE,6/21/2021,0.280498798,0.285912364,0.289784209,0.255712249
